15.2585 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1280, 800]. Using actual size
15.9730 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
16.5350 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=598, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
16.5388 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
16.5413 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
16.5477 	EXP 	Created  = <psychopy.visual.radial.RadialStim object at 0x10cb2c10>
16.5520 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='green', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([   0.,  128.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
16.5550 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
16.5876 	EXP 	TextStim: autoDraw = True
24.8650 	DATA 	Keypress: space
24.8749 	EXP 	TextStim: autoDraw = False
24.8749 	EXP 	TextStim: autoDraw = True
29.0605 	DATA 	Keypress: lshift
29.0769 	EXP 	TextStim: autoDraw = False
29.0769 	EXP 	TextStim: autoDraw = True
29.4443 	DATA 	Keypress: t
30.5281 	DATA 	Keypress: t
64.0614 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
64.1275 	EXP 	New trial (rep=0, index=0): None
64.1278 	EXP 	Imported phase_loop.csv as conditions, 2 conditions, 1 params
64.1279 	EXP 	Created sequence: sequential, trialTypes=2, nReps=280, seed=None
64.1302 	EXP 	New trial (rep=0, index=0): {'phase': 0.0}
64.1320 	EXP 	New trial (rep=0, index=1): {'phase': 0.5}
64.1443 	EXP 	TextStim: autoDraw = False
64.1443 	EXP 	RadialStim: autoDraw = False
64.1443 	EXP 	TextStim: autoDraw = False
64.1443 	EXP 	RadialStim: autoDraw = True
64.1443 	EXP 	TextStim: autoDraw = True
64.1974 	EXP 	New trial (rep=1, index=0): {'phase': 0.0}
64.2109 	EXP 	RadialStim: autoDraw = False
64.2109 	EXP 	TextStim: autoDraw = False
64.2109 	EXP 	RadialStim: autoDraw = True
64.2109 	EXP 	TextStim: autoDraw = True
64.2641 	EXP 	New trial (rep=1, index=1): {'phase': 0.5}
64.2776 	EXP 	RadialStim: autoDraw = False
64.2776 	EXP 	TextStim: autoDraw = False
64.2776 	EXP 	RadialStim: autoDraw = True
64.2776 	EXP 	TextStim: autoDraw = True
64.3140 	EXP 	New trial (rep=2, index=0): {'phase': 0.0}
64.3276 	EXP 	RadialStim: autoDraw = False
64.3276 	EXP 	TextStim: autoDraw = False
64.3276 	EXP 	RadialStim: autoDraw = True
64.3276 	EXP 	TextStim: autoDraw = True
64.3809 	EXP 	New trial (rep=2, index=1): {'phase': 0.5}
64.3944 	EXP 	RadialStim: autoDraw = False
64.3944 	EXP 	TextStim: autoDraw = False
64.3944 	EXP 	RadialStim: autoDraw = True
64.3944 	EXP 	TextStim: autoDraw = True
64.4474 	EXP 	New trial (rep=3, index=0): {'phase': 0.0}
64.4609 	EXP 	RadialStim: autoDraw = False
64.4609 	EXP 	TextStim: autoDraw = False
64.4609 	EXP 	RadialStim: autoDraw = True
64.4609 	EXP 	TextStim: autoDraw = True
64.5141 	EXP 	New trial (rep=3, index=1): {'phase': 0.5}
64.5277 	EXP 	RadialStim: autoDraw = False
64.5277 	EXP 	TextStim: autoDraw = False
64.5277 	EXP 	RadialStim: autoDraw = True
64.5277 	EXP 	TextStim: autoDraw = True
64.5642 	EXP 	New trial (rep=4, index=0): {'phase': 0.0}
64.5777 	EXP 	RadialStim: autoDraw = False
64.5777 	EXP 	TextStim: autoDraw = False
64.5777 	EXP 	RadialStim: autoDraw = True
64.5777 	EXP 	TextStim: autoDraw = True
64.6309 	EXP 	New trial (rep=4, index=1): {'phase': 0.5}
64.6445 	EXP 	RadialStim: autoDraw = False
64.6445 	EXP 	TextStim: autoDraw = False
64.6445 	EXP 	RadialStim: autoDraw = True
64.6445 	EXP 	TextStim: autoDraw = True
64.6976 	EXP 	New trial (rep=5, index=0): {'phase': 0.0}
64.7111 	EXP 	RadialStim: autoDraw = False
64.7111 	EXP 	TextStim: autoDraw = False
64.7111 	EXP 	RadialStim: autoDraw = True
64.7111 	EXP 	TextStim: autoDraw = True
64.7644 	EXP 	New trial (rep=5, index=1): {'phase': 0.5}
64.7779 	EXP 	RadialStim: autoDraw = False
64.7779 	EXP 	TextStim: autoDraw = False
64.7779 	EXP 	RadialStim: autoDraw = True
64.7779 	EXP 	TextStim: autoDraw = True
64.8143 	EXP 	New trial (rep=6, index=0): {'phase': 0.0}
64.8279 	EXP 	RadialStim: autoDraw = False
64.8279 	EXP 	TextStim: autoDraw = False
64.8279 	EXP 	RadialStim: autoDraw = True
64.8279 	EXP 	TextStim: autoDraw = True
64.8811 	EXP 	New trial (rep=6, index=1): {'phase': 0.5}
64.8945 	EXP 	RadialStim: autoDraw = False
64.8945 	EXP 	TextStim: autoDraw = False
64.8945 	EXP 	RadialStim: autoDraw = True
64.8945 	EXP 	TextStim: autoDraw = True
64.9478 	EXP 	New trial (rep=7, index=0): {'phase': 0.0}
64.9613 	EXP 	RadialStim: autoDraw = False
64.9613 	EXP 	TextStim: autoDraw = False
64.9613 	EXP 	RadialStim: autoDraw = True
64.9613 	EXP 	TextStim: autoDraw = True
65.0145 	EXP 	New trial (rep=7, index=1): {'phase': 0.5}
65.0280 	EXP 	RadialStim: autoDraw = False
65.0280 	EXP 	TextStim: autoDraw = False
65.0280 	EXP 	RadialStim: autoDraw = True
65.0280 	EXP 	TextStim: autoDraw = True
65.0643 	EXP 	New trial (rep=8, index=0): {'phase': 0.0}
65.0780 	EXP 	RadialStim: autoDraw = False
65.0780 	EXP 	TextStim: autoDraw = False
65.0780 	EXP 	RadialStim: autoDraw = True
65.0780 	EXP 	TextStim: autoDraw = True
65.1312 	EXP 	New trial (rep=8, index=1): {'phase': 0.5}
65.1447 	EXP 	RadialStim: autoDraw = False
65.1447 	EXP 	TextStim: autoDraw = False
65.1447 	EXP 	RadialStim: autoDraw = True
65.1447 	EXP 	TextStim: autoDraw = True
65.1976 	EXP 	New trial (rep=9, index=0): {'phase': 0.0}
65.2115 	EXP 	RadialStim: autoDraw = False
65.2115 	EXP 	TextStim: autoDraw = False
65.2115 	EXP 	RadialStim: autoDraw = True
65.2115 	EXP 	TextStim: autoDraw = True
65.2644 	EXP 	New trial (rep=9, index=1): {'phase': 0.5}
65.2782 	EXP 	RadialStim: autoDraw = False
65.2782 	EXP 	TextStim: autoDraw = False
65.2782 	EXP 	RadialStim: autoDraw = True
65.2782 	EXP 	TextStim: autoDraw = True
65.3146 	EXP 	New trial (rep=10, index=0): {'phase': 0.0}
65.3282 	EXP 	RadialStim: autoDraw = False
65.3282 	EXP 	TextStim: autoDraw = False
65.3282 	EXP 	RadialStim: autoDraw = True
65.3282 	EXP 	TextStim: autoDraw = True
65.3811 	EXP 	New trial (rep=10, index=1): {'phase': 0.5}
65.3948 	EXP 	RadialStim: autoDraw = False
65.3948 	EXP 	TextStim: autoDraw = False
65.3948 	EXP 	RadialStim: autoDraw = True
65.3948 	EXP 	TextStim: autoDraw = True
65.4482 	EXP 	New trial (rep=11, index=0): {'phase': 0.0}
65.4615 	EXP 	RadialStim: autoDraw = False
65.4615 	EXP 	TextStim: autoDraw = False
65.4615 	EXP 	RadialStim: autoDraw = True
65.4615 	EXP 	TextStim: autoDraw = True
65.5146 	EXP 	New trial (rep=11, index=1): {'phase': 0.5}
65.5282 	EXP 	RadialStim: autoDraw = False
65.5282 	EXP 	TextStim: autoDraw = False
65.5282 	EXP 	RadialStim: autoDraw = True
65.5282 	EXP 	TextStim: autoDraw = True
65.5648 	EXP 	New trial (rep=12, index=0): {'phase': 0.0}
65.5782 	EXP 	RadialStim: autoDraw = False
65.5782 	EXP 	TextStim: autoDraw = False
65.5782 	EXP 	RadialStim: autoDraw = True
65.5782 	EXP 	TextStim: autoDraw = True
65.6315 	EXP 	New trial (rep=12, index=1): {'phase': 0.5}
65.6449 	EXP 	RadialStim: autoDraw = False
65.6449 	EXP 	TextStim: autoDraw = False
65.6449 	EXP 	RadialStim: autoDraw = True
65.6449 	EXP 	TextStim: autoDraw = True
65.6981 	EXP 	New trial (rep=13, index=0): {'phase': 0.0}
65.7115 	EXP 	RadialStim: autoDraw = False
65.7115 	EXP 	TextStim: autoDraw = False
65.7115 	EXP 	RadialStim: autoDraw = True
65.7115 	EXP 	TextStim: autoDraw = True
65.7648 	EXP 	New trial (rep=13, index=1): {'phase': 0.5}
65.7784 	EXP 	RadialStim: autoDraw = False
65.7784 	EXP 	TextStim: autoDraw = False
65.7784 	EXP 	RadialStim: autoDraw = True
65.7784 	EXP 	TextStim: autoDraw = True
65.8148 	EXP 	New trial (rep=14, index=0): {'phase': 0.0}
65.8284 	EXP 	RadialStim: autoDraw = False
65.8284 	EXP 	TextStim: autoDraw = False
65.8284 	EXP 	RadialStim: autoDraw = True
65.8284 	EXP 	TextStim: autoDraw = True
65.8815 	EXP 	New trial (rep=14, index=1): {'phase': 0.5}
65.8951 	EXP 	RadialStim: autoDraw = False
65.8951 	EXP 	TextStim: autoDraw = False
65.8951 	EXP 	RadialStim: autoDraw = True
65.8951 	EXP 	TextStim: autoDraw = True
65.9484 	EXP 	New trial (rep=15, index=0): {'phase': 0.0}
65.9618 	EXP 	RadialStim: autoDraw = False
65.9618 	EXP 	TextStim: autoDraw = False
65.9618 	EXP 	RadialStim: autoDraw = True
65.9618 	EXP 	TextStim: autoDraw = True
66.0149 	EXP 	New trial (rep=15, index=1): {'phase': 0.5}
66.0285 	EXP 	RadialStim: autoDraw = False
66.0285 	EXP 	TextStim: autoDraw = False
66.0285 	EXP 	RadialStim: autoDraw = True
66.0285 	EXP 	TextStim: autoDraw = True
66.0650 	EXP 	New trial (rep=16, index=0): {'phase': 0.0}
66.0784 	EXP 	RadialStim: autoDraw = False
66.0784 	EXP 	TextStim: autoDraw = False
66.0784 	EXP 	RadialStim: autoDraw = True
66.0784 	EXP 	TextStim: autoDraw = True
66.1316 	EXP 	New trial (rep=16, index=1): {'phase': 0.5}
66.1452 	EXP 	RadialStim: autoDraw = False
66.1452 	EXP 	TextStim: autoDraw = False
66.1452 	EXP 	RadialStim: autoDraw = True
66.1452 	EXP 	TextStim: autoDraw = True
66.1984 	EXP 	New trial (rep=17, index=0): {'phase': 0.0}
66.2120 	EXP 	RadialStim: autoDraw = False
66.2120 	EXP 	TextStim: autoDraw = False
66.2120 	EXP 	RadialStim: autoDraw = True
66.2120 	EXP 	TextStim: autoDraw = True
66.2648 	EXP 	New trial (rep=17, index=1): {'phase': 0.5}
66.2786 	EXP 	RadialStim: autoDraw = False
66.2786 	EXP 	TextStim: autoDraw = False
66.2786 	EXP 	RadialStim: autoDraw = True
66.2786 	EXP 	TextStim: autoDraw = True
66.3150 	EXP 	New trial (rep=18, index=0): {'phase': 0.0}
66.3286 	EXP 	RadialStim: autoDraw = False
66.3286 	EXP 	TextStim: autoDraw = False
66.3286 	EXP 	RadialStim: autoDraw = True
66.3286 	EXP 	TextStim: autoDraw = True
66.3817 	EXP 	New trial (rep=18, index=1): {'phase': 0.5}
66.3953 	EXP 	RadialStim: autoDraw = False
